Day,Start,Channel,Title,Category
Monday,00:00,ABC1,Channel Closed,NA
Monday,06:00,ABC1,Breakfast with Bill,Entertainment
Monday,08:00,ABC1,Morning Matters,Entertainment
Monday,09:00,ABC1,News at Nine,News
Monday,09:45,ABC1,Local News AM,News
Monday,10:00,ABC1,Garden with Julia,Entertainment
Monday,12:00,ABC1,Crunchy Lunchy,Entertainment
Monday,12:30,ABC1,Lunchtime News,News
Monday,13:30,ABC1,Local News Lunch,News
Monday,14:00,ABC1,Detective Doctor Guy,Drama
Monday,15:00,ABC1,Typewriter of Death,Drama
Monday,16:00,ABC1,Carboot Sale Upstairs,Entertainment
Monday,18:00,ABC1,News at Six,News
Monday,19:00,ABC1,Lycra Clad Warriors,Entertainment
Monday,20:00,ABC1,Funny Fishermen,Comedy
Monday,20:30,ABC1,Betty and Jane at it again,Comedy
Monday,21:00,ABC1,Chat Show Couch Guy,Entertainment
Monday,22:00,ABC1,Late Night Lunch,Entertainment
Monday,23:00,ABC1,Channel Closed,NA
Tuesday,00:00,ABC1,Channel Closed,NA
Tuesday,06:00,ABC1,Breakfast with Bill,Entertainment
Tuesday,08:00,ABC1,Morning Matters,Entertainment
Tuesday,09:00,ABC1,News at Nine,News
Tuesday,09:45,ABC1,Local News AM,News
Tuesday,10:00,ABC1,Garden with Julia,Entertainment
Tuesday,12:00,ABC1,Crunchy Lunchy,Entertainment
Tuesday,12:30,ABC1,Lunchtime News,News
Tuesday,13:30,ABC1,Local News Lunch,News
Tuesday,14:00,ABC1,Detective Doctor Guy,Drama
Tuesday,15:00,ABC1,Typewriter of Death,Drama
Tuesday,16:00,ABC1,Carboot Sale Upstairs,Entertainment
Tuesday,18:00,ABC1,News at Six,News
Tuesday,19:00,ABC1,Lycra Clad Warriors,Entertainment
Tuesday,20:00,ABC1,Funny Fishermen,Comedy
Tuesday,20:30,ABC1,Betty and Jane at it again,Comedy
Tuesday,21:00,ABC1,Chat Show Couch Guy,Entertainment
Tuesday,22:00,ABC1,Late Night Lunch,Entertainment
Tuesday,23:00,ABC1,Channel Closed,NA
Wednesday,00:00,ABC1,Channel Closed,NA
Wednesday,06:00,ABC1,Breakfast with Bill,Entertainment
Wednesday,08:00,ABC1,Morning Matters,Entertainment
Wednesday,09:00,ABC1,News at Nine,News
Wednesday,09:45,ABC1,Local News AM,News
Wednesday,10:00,ABC1,Garden with Julia,Entertainment
Wednesday,12:00,ABC1,Crunchy Lunchy,Entertainment
Wednesday,12:30,ABC1,Lunchtime News,News
Wednesday,13:30,ABC1,Local News Lunch,News
Wednesday,14:00,ABC1,Detective Doctor Guy,Drama
Wednesday,15:00,ABC1,Typewriter of Death,Drama
Wednesday,16:00,ABC1,Carboot Sale Upstairs,Entertainment
Wednesday,18:00,ABC1,News at Six,News
Wednesday,19:00,ABC1,Lycra Clad Warriors,Entertainment
Wednesday,20:00,ABC1,Funny Fishermen,Comedy
Wednesday,20:30,ABC1,Betty and Jane at it again,Comedy
Wednesday,21:00,ABC1,Chat Show Couch Guy,Entertainment
Wednesday,22:00,ABC1,Late Night Lunch,Entertainment
Wednesday,23:00,ABC1,Channel Closed,NA
Thursday,00:00,ABC1,Channel Closed,NA
Thursday,06:00,ABC1,Breakfast with Bill,Entertainment
Thursday,08:00,ABC1,Morning Matters,Entertainment
Thursday,09:00,ABC1,News at Nine,News
Thursday,09:45,ABC1,Local News AM,News
Thursday,10:00,ABC1,Garden with Julia,Entertainment
Thursday,12:00,ABC1,Crunchy Lunchy,Entertainment
Thursday,12:30,ABC1,Lunchtime News,News
Thursday,13:30,ABC1,Local News Lunch,News
Thursday,14:00,ABC1,Detective Doctor Guy,Drama
Thursday,15:00,ABC1,Typewriter of Death,Drama
Thursday,16:00,ABC1,Carboot Sale Upstairs,Entertainment
Thursday,18:00,ABC1,News at Six,News
Thursday,19:00,ABC1,Lycra Clad Warriors,Entertainment
Thursday,20:00,ABC1,Funny Fishermen,Comedy
Thursday,20:30,ABC1,Betty and Jane at it again,Comedy
Thursday,21:00,ABC1,Chat Show Couch Guy,Entertainment
Thursday,22:00,ABC1,Late Night Lunch,Entertainment
Thursday,23:00,ABC1,Channel Closed,NA
Friday,00:00,ABC1,Channel Closed,NA
Friday,06:00,ABC1,Breakfast with Bill,Entertainment
Friday,08:00,ABC1,Morning Matters,Entertainment
Friday,09:00,ABC1,News at Nine,News
Friday,09:45,ABC1,Local News AM,News
Friday,10:00,ABC1,Garden with Julia,Entertainment
Friday,12:00,ABC1,Crunchy Lunchy,Entertainment
Friday,12:30,ABC1,Lunchtime News,News
Friday,13:30,ABC1,Local News Lunch,News
Friday,14:00,ABC1,Detective Doctor Guy,Drama
Friday,15:00,ABC1,Typewriter of Death,Drama
Friday,16:00,ABC1,Carboot Sale Upstairs,Entertainment
Friday,18:00,ABC1,News at Six,News
Friday,19:00,ABC1,Lycra Clad Warriors,Entertainment
Friday,20:00,ABC1,Funny Fishermen,Comedy
Friday,20:30,ABC1,Betty and Jane at it again,Comedy
Friday,21:00,ABC1,Chat Show Couch Guy,Entertainment
Friday,22:00,ABC1,Late Night Lunch,Entertainment
Friday,23:00,ABC1,Channel Closed,NA
Monday,00:00,Shopping Channel,Channel Closed,NA
Monday,06:00,Shopping Channel,Buying for Breakfast,Entertainment
Monday,10:00,Shopping Channel,Julies Jewels,Entertainment
Monday,13:00,Shopping Channel,You Cant Be What You Cant Buy,Entertainment
Monday,16:00,Shopping Channel,Monday at 4 - Whos at the Door?,Entertainment
Monday,19:00,Shopping Channel,This Little Piggy Went to Market,Entertainment
Monday,21:30,Shopping Channel,Cheese Please,Entertainment
Monday,23:00,Shopping Channel,Channel Closed,NA
Tuesday,00:00,Shopping Channel,Channel Closed,NA
Tuesday,06:00,Shopping Channel,Buying for Breakfast,Entertainment
Tuesday,10:00,Shopping Channel,Julies Jewels,Entertainment
Tuesday,13:00,Shopping Channel,You Cant Be What You Cant Buy,Entertainment
Tuesday,16:00,Shopping Channel,Tuesday at 4 - Whos at the Door?,Entertainment
Tuesday,19:00,Shopping Channel,This Little Piggy Stayed at Home - Shopping,Entertainment
Tuesday,21:30,Shopping Channel,Cheese Please,Entertainment
Tuesday,23:00,Shopping Channel,Channel Closed,NA
Wednesday,00:00,Shopping Channel,Channel Closed,NA
Wednesday,06:00,Shopping Channel,Buying for Breakfast,Entertainment
Wednesday,10:00,Shopping Channel,Julies Jewels,Entertainment
Wednesday,12:30,Shopping Channel,Out to Lunch - the Buyers Guide,Entertainment
Wednesday,13:00,Shopping Channel,You Cant Be What You Cant Buy,Entertainment
Wednesday,16:00,Shopping Channel,Wednesday at 4 - Whos at the Door?,Entertainment
Wednesday,19:00,Shopping Channel,This Little Piggy Bought Roast Beef,Entertainment
Wednesday,21:30,Shopping Channel,Cheese Please,Entertainment
Wednesday,23:00,Shopping Channel,Channel Closed,NA
Thursday,00:00,Shopping Channel,Channel Closed,NA
Thursday,06:00,Shopping Channel,Buying for Breakfast,Entertainment
Thursday,10:00,Shopping Channel,Julies Jewels,Entertainment
Thursday,13:00,Shopping Channel,You Cant Be What You Cant Buy,Entertainment
Thursday,16:00,Shopping Channel,Thursday at 4 - Whos at the Door?,Entertainment
Thursday,19:00,Shopping Channel,This Little Piggy Bought Lunch,Entertainment
Thursday,21:30,Shopping Channel,Cheese Please,Entertainment
Thursday,23:00,Shopping Channel,Channel Closed,NA
Friday,00:00,Shopping Channel,Channel Closed,NA
Friday,06:00,Shopping Channel,Buying for Breakfast,Entertainment
Friday,10:00,Shopping Channel,Julies Jewels,Entertainment
Friday,13:00,Shopping Channel,You Cant Be What You Cant Buy,Entertainment
Friday,16:00,Shopping Channel,Friday at 4 - Whos at the Door?,Entertainment
Friday,19:00,Shopping Channel,This Little Piggy Went Wee Wee Wee All The Way Home,Entertainment
Friday,21:30,Shopping Channel,Cheese Please,Entertainment
Friday,23:00,Shopping Channel,Channel Closed,NA
Monday,00:00,Premium Events,Channel Closed,NA
Monday,06:00,Premium Events,Pay Per View AM,Entertainment
Monday,10:00,Premium Events,Its 5 O'Clock Somewhere,Entertainment
Monday,14:00,Premium Events,14 for Teens,Entertainment
Monday,18:00,Premium Events,Generic Program Title,Entertainment
Monday,22:00,Premium Events,Tentative at Ten,Entertainment
Monday,23:00,Premium Events,Channel Closed,NA
Tuesday,00:00,Premium Events,Channel Closed,NA
Tuesday,06:00,Premium Events,Pay Per View AM,Entertainment
Tuesday,10:00,Premium Events,Its 5 O'Clock Somewhere,Entertainment
Tuesday,14:00,Premium Events,14 for Teens,Entertainment
Tuesday,18:00,Premium Events,Generic Program Title,Entertainment
Tuesday,22:00,Premium Events,Tentative at Ten,Entertainment
Tuesday,23:00,Premium Events,Channel Closed,NA
Wednesday,00:00,Premium Events,Channel Closed,NA
Wednesday,06:00,Premium Events,Pay Per View AM,Entertainment
Wednesday,10:00,Premium Events,Its 5 O'Clock Somewhere,Entertainment
Wednesday,14:00,Premium Events,14 for Teens,Entertainment
Wednesday,18:00,Premium Events,Generic Program Title,Entertainment
Wednesday,22:00,Premium Events,Tentative at Ten,Entertainment
Wednesday,23:00,Premium Events,Channel Closed,NA
Thursday,00:00,Premium Events,Channel Closed,NA
Thursday,06:00,Premium Events,Pay Per View AM,Entertainment
Thursday,10:00,Premium Events,Its 5 O'Clock Somewhere,Entertainment
Thursday,12:00,Premium Events,Ladies Who Lunch,Entertainment
Thursday,14:00,Premium Events,14 for Teens,Entertainment
Thursday,18:00,Premium Events,Generic Program Title,Entertainment
Thursday,22:00,Premium Events,Tentative at Ten,Entertainment
Thursday,23:00,Premium Events,Channel Closed,NA
Friday,00:00,Premium Events,Channel Closed,NA
Friday,06:00,Premium Events,Pay Per View AM,Entertainment
Friday,10:00,Premium Events,Its 5 O'Clock Somewhere,Entertainment
